Company Name;Nome;Código CVM;CNPJ;Segmento;Tickers
1461 INVESTIMENTOS S.A;1461 INVEST;900049;46639922000144;Não Classificados;N/A
3R POTIGUAR S.A;3RPOTIGUAR;900025;44186763000144;Não Classificados;N/A
3Z REALTY DESENVOLVIMENTO IMOBILIARIO S/A;3ZREALTY;908830;8145855000112;Não Classificados;N/A
524 PARTICIPACOES S.A.;524 PARTICIP;16284;1851771000155;Outros;QVQP3
99 PAY INSTITUICAO DE PAGAMENTO S.A.;99 PAY;900391;24313102000125;Não Classificados;N/A
A  GERADORA  ALUGUEL DE MAQUINAS S.A.;GERADORA;904110;33845322000190;Não Classificados;N/A
A BODYTECH PARTICIPACOES S.A.;BODYTECH;901082;7737623000190;Não Classificados;N/A
A. ANGELONI & CIA LTDA;AANGELONI;917521;83646984000100;Não Classificados;N/A
A. YOSHII ENGENHARIA E CONSTRUÇÕES LTDA;AYOSHII;900151;78016003000100;Não Classificados;N/A
A.M.C. TEXTIL LTDA. ;A.M.C. TEXTI;900503;75364570000160;Não Classificados;N/A
AB CONCESSOES S.A.;ABCONCESSOES;910141;15019317000147;Não Classificados;N/A
ABA PORTO PARTICIPACOES S/A;ABAPORTO;900043;15255561000109;Não Classificados;N/A
ABAPORU PARTICIPACOES S/A;ABAPORU;900068;18546405000195;Não Classificados;N/A
ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA;ABCBRASIL;900063;29198324000168;Não Classificados;N/A
ABIMEX IMPORTACAO E EXPORTACAO S/A;ABIMEX;900050;7121351000108;Não Classificados;N/A
ABRDN PHYSICAL GOLD SHARES ETF;ABDEN GOLD;50335;0;Não Classificados;ABGD39
ABRDN PHYSICAL SILVER SHARES ETF;ABDEN SILV;50327;0;Não Classificados;SIVR39
ABRIL COMUNICACOES S.A.;ABRIL COM;909689;44597052000162;Não Classificados;N/A
ACECO TI S/A;ACECOTI;900076;43209436000106;Não Classificados;N/A
ACEF S.A.;ACEF;903617;46722831000178;Não Classificados;N/A
ACELEN ENERGIA RENOVAVEL S.A. ;ACELEN;900505;50886095000160;Não Classificados;N/A
ACHE LABORATORIOS FARMACEUTICOS S.A.;ACHELABORAT;915298;60659463002992;Não Classificados;N/A
AÇO VERDE DO BRASIL S.A.;ACO VERDE;26425;7636657000199;Não Classificados;N/A
ACQIO HOLDING PARTICIPACOES S.A.;ACQIO HOLDIN;913996;31446280000190;Não Classificados;N/A
AÇU PETROLEO S.A.;ACU PETROLEO;916986;21778678000170;Não Classificados;N/A
AÇUCAREIRA QUATA S.A.;QUATA;910893;60855574000173;Não Classificados;N/A
ADAMI S.A. - MADEIRAS;ADAMI;900092;83054478000121;Não Classificados;N/A
ADDIANTE S.A.;ADDIANTE;900490;48430290000130;Não Classificados;N/A
ADECOAGRO VALE DO EVINHEMA S.A.;ADECOAGRO VA;913574;7903169000109;Não Classificados;N/A
ADMINISTRADORA GERAL DE ESTACIONAMENTOS S.A;ADM ESTACIO;917679;86862208000135;Não Classificados;N/A
AEC CENTRO DE CONTATOS S/A;AEC CENTRO;900477;2455233000104;Não Classificados;N/A
AEGEA SANEAMENTO PARTICIPAÇÕES S.A.;AEGEA;23396;8827501000158;Não Classificado;N/A
AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;AERIS;25283;12528708000107;Máq. e Equip. Industriais;AERI3
AEROPORTOS BRASIL -  VIRACOPOS S.A.;VIRACOPOS;909226;14522178000107;Não Classificados;N/A
AEROPORTOS DO NORDESTE DO BRASIL S.A.;AEROPORTOSDO;917252;33919741000120;Não Classificados;N/A
AES CAJUINA AB1 HOLDINGS S.A.;AES CAJUINA;917471;45024644000158;Não Classificados;N/A
AES HOLDINGS BRASIL S.A.;AES HOLD BR;913830;5692190000179;Não Classificados;N/A
AES TIETE EOLICA S.A;RENOVA EOLIC;900382;11289590000130;Não Classificados;N/A
